1234567890,P1009,15-01-2025,true
2345678901,P1003,16-01-2025,true
3456789012,P1005,17-01-2025,false
4567890123,P1002,18-01-2025,true
4567890123,P1010,18-01-2025,true
5678901234,P1004,19-01-2025,true
6789012345,P1007,20-01-2025,true
7890123456,P1006,21-01-2025,true
7890123456,P1015,21-01-2025,true
8901234567,P1011,22-01-2025,false
9012345678,P1008,23-01-2025,true
1122334455,P1012,24-01-2025,true
2233445566,P1013,25-01-2025,true
5566778899,P1003,28-01-2025,false
6677889900,P1005,29-01-2025,true
7788990011,P1007,30-01-2025,true
8899001122,P1010,31-01-2025,true
